input,tsn_species,tsn_genus,tsn_family,tsn_order,tsn_class,tsn_phylum,tsn_kingdom,species,genus,family,order,class,phylum,kingdom,log
Sphaerophoria rueppellii,0,140247,139621,118831,99208,82696,202423,,Sphaerophoria,Syrphidae,Diptera,Insecta,Arthropoda,Animalia,Genus found
Bicellaria varia,0,136495,136392,118831,99208,82696,202423,,Bicellaria,Hybotidae,Diptera,Insecta,Arthropoda,Animalia,Genus found
Ophiomyia sp,0,143564,143384,118831,99208,82696,202423,,Ophiomyia,Agromyzidae,Diptera,Insecta,Arthropoda,Animalia,Genus found
Pipiza noctiluca,0,140372,139621,118831,99208,82696,202423,,Pipiza,Syrphidae,Diptera,Insecta,Arthropoda,Animalia,Genus found
Centrorhynchus obstrictus,0,197471,64351,197470,196823,64238,202423,,Centrorhynchus,Centrorhynchidae,Polymorphida,Palaeacanthocephala,Acanthocephala,Animalia,Genus found
Cetema elongata,0,148029,147644,118831,99208,82696,202423,,Cetema,Chloropidae,Diptera,Insecta,Arthropoda,Animalia,Genus found
Diospilus capito,0,0,0,0,0,0,0,capito,Diospilus,Braconidae,Hymenoptera,Insecta,Arthropoda,Animalia,Genus found
Phradis morionellus,0,0,0,0,0,0,0,morionellus,Phradis,Ichneumonidae,Hymenoptera,Insecta,Arthropoda,Animalia,Genus found
Empis nuntia,0,135943,135830,118831,99208,82696,202423,,Empis,Empididae,Diptera,Insecta,Arthropoda,Animalia,Genus found
Cheilosia pagana,140532,140418,139621,118831,99208,82696,202423,pagana,Cheilosia,Syrphidae,Diptera,Insecta,Arthropoda,Animalia,Species found
Cheilosia proxima,0,140418,139621,118831,99208,82696,202423,,Cheilosia,Syrphidae,Diptera,Insecta,Arthropoda,Animalia,Genus found
Cheilosia proxima D,0,140418,139621,118831,99208,82696,202423,,Cheilosia,Syrphidae,Diptera,Insecta,Arthropoda,Animalia,Genus found
Coenosia tigrina,151229,151115,150025,118831,99208,82696,202423,tigrina,Coenosia,Muscidae,Diptera,Insecta,Arthropoda,Animalia,Species found
Copromyza similes,0,145823,145784,118831,99208,82696,202423,,Copromyza,Sphaeroceridae,Diptera,Insecta,Arthropoda,Animalia,Genus found
Ectemnius cephalotes,0,768357,709291,152741,99208,82696,202423,,Ectemnius,Crabronidae,Hymenoptera,Insecta,Arthropoda,Animalia,Genus found
Musca autumnalis,150250,150249,150025,118831,99208,82696,202423,autumnalis,Musca,Muscidae,Diptera,Insecta,Arthropoda,Animalia,Species found
Plagiotrochus sp,0,705601,154031,152741,99208,82696,202423,,Plagiotrochus,Cynipidae,Hymenoptera,Insecta,Arthropoda,Animalia,Genus found
Sussaba cognata,0,0,0,0,0,0,0,cognata,Sussaba,Ichneumonidae,Hymenoptera,Insecta,Arthropoda,Animalia,Genus found
Anthomyia pluvialis,149217,149201,148685,118831,99208,82696,202423,pluvialis,Anthomyia,Anthomyiidae,Diptera,Insecta,Arthropoda,Animalia,Species found
Aprostocetus sp,0,153917,153770,152741,99208,82696,202423,,Aprostocetus,Eulophidae,Hymenoptera,Insecta,Arthropoda,Animalia,Genus found
Bombus pratorum,714984,154397,154394,152741,99208,82696,202423,pratorum,Bombus,Apidae,Hymenoptera,Insecta,Arthropoda,Animalia,Species found
Bombus vestalis,715039,154397,154394,152741,99208,82696,202423,vestalis,Bombus,Apidae,Hymenoptera,Insecta,Arthropoda,Animalia,Species found
Eupeodes luniger,140060,140026,139621,118831,99208,82696,202423,luniger,Eupeodes,Syrphidae,Diptera,Insecta,Arthropoda,Animalia,Species found
Norellisoma spinimanum,0,148563,678096,118831,99208,82696,202423,,Norellisoma,Scathophagidae,Diptera,Insecta,Arthropoda,Animalia,Genus found
Phyllobius virideaeris,0,616992,114666,109216,99208,82696,202423,,Phyllobius,Curculionidae,Coleoptera,Insecta,Arthropoda,Animalia,Genus found
Sarcophaga carnaria,0,152062,151815,118831,99208,82696,202423,,Sarcophaga,Sarcophagidae,Diptera,Insecta,Arthropoda,Animalia,Genus found
Sitona puncticollis,0,188073,114666,109216,99208,82696,202423,,Sitona,Curculionidae,Coleoptera,Insecta,Arthropoda,Animalia,Genus found
Syrphus ribesii,140289,140276,139621,118831,99208,82696,202423,ribesii,Syrphus,Syrphidae,Diptera,Insecta,Arthropoda,Animalia,Species found
Longitarsus sp,0,719704,114509,109216,99208,82696,202423,,Longitarsus,Chrysomelidae,Coleoptera,Insecta,Arthropoda,Animalia,Genus found
